"","Site","Logger","Winter","UniqueLoggerWinter","DateTime","TempC","MAST","DistEntrM","SiteType","ElevM","TPI","CHILI","PercTree","SnowDays","SWE","gwDepthM"
"97",106,"A113Z",2015,"A113Z.2015","2016-01-14 19:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"98",106,"A113Z",2015,"A113Z.2015","2015-12-30 11:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"99",106,"A113Z",2015,"A113Z.2015","2016-02-07 07:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"100",106,"A113Z",2015,"A113Z.2015","2015-12-16 09:29:01",8.113,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"101",106,"A113Z",2015,"A113Z.2015","2016-01-02 19:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"102",106,"A113Z",2015,"A113Z.2015","2016-02-26 17:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"103",106,"A113Z",2015,"A113Z.2015","2016-01-10 23:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"104",106,"A113Z",2015,"A113Z.2015","2016-01-01 21:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"105",106,"A113Z",2015,"A113Z.2015","2016-01-22 23:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"106",106,"A113Z",2015,"A113Z.2015","2016-02-28 09:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"107",106,"A113Z",2015,"A113Z.2015","2016-02-17 13:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"108",106,"A113Z",2015,"A113Z.2015","2015-12-04 13:29:01",8.113,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"109",106,"A113Z",2015,"A113Z.2015","2016-02-01 19:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"110",106,"A113Z",2015,"A113Z.2015","2015-12-17 17:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"111",106,"A113Z",2015,"A113Z.2015","2016-01-26 01:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"112",106,"A113Z",2015,"A113Z.2015","2016-01-02 09:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"113",106,"A113Z",2015,"A113Z.2015","2015-12-05 19:29:01",8.113,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"114",106,"A113Z",2015,"A113Z.2015","2016-01-30 01:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"115",106,"A113Z",2015,"A113Z.2015","2016-01-20 23:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"116",106,"A113Z",2015,"A113Z.2015","2016-01-21 05:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"117",106,"A113Z",2015,"A113Z.2015","2016-01-16 01:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"118",106,"A113Z",2015,"A113Z.2015","2016-02-03 03:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"119",106,"A113Z",2015,"A113Z.2015","2016-02-29 07:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"120",106,"A113Z",2015,"A113Z.2015","2016-02-06 13:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"121",106,"A113Z",2015,"A113Z.2015","2016-01-12 23:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"122",106,"A113Z",2015,"A113Z.2015","2016-01-08 07:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"123",106,"A113Z",2015,"A113Z.2015","2016-01-15 13:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"124",106,"A113Z",2015,"A113Z.2015","2015-12-18 21:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
